src,latitude,longitude
75,40.690246582,-73.9841156006
76,40.6889877319,-73.967048645
77,40.6878585815,-73.9361419678
78,40.6955337524,-73.8753356934
79,40.6970901489,-73.8343505859
80,40.6964607239,-73.8165512085
81,40.6891937256,-73.7807998657
82,40.69140625,-73.7624359131
83,40.6566581726,-73.6578598022
84,40.7612113953,-73.7697906494
85,40.7012329102,-73.8049163818
86,40.7098846436,-73.7946243286
87,40.6825332642,-73.4336013794
88,40.6793365479,-73.389213562
89,40.7274017334,-74.3448181152
90,40.723400116,-74.3090133667
91,40.7089920044,-74.1915664673
92,40.7408638,-74.1908035278
93,40.7142410278,-74.1404724121
94,40.7230644226,-74.0385437012
95,40.7363739014,-74.0021209717
96,40.7246208191,-73.9801177979
97,40.7192764282,-73.9584197998
98,40.7359085083,-73.9127807617
99,40.7343406677,-73.8702087402
100,40.716594696,-73.8292312622
101,40.7209205627,-73.8042602539
102,40.7276115417,-73.7863006592
103,40.7266807556,-73.7502288818
104,40.7093353271,-73.7232055664
105,40.7625923157,-73.6935653687
106,40.7243118286,-73.540184021
107,40.7029380798,-73.4833374023
108,40.6973266602,-73.8124923706
109,40.7084159851,-73.355430603
110,40.7320747375,-73.3361282349
111,40.7402381897,-73.2824630737
112,40.7205085754,-73.2149200439
113,40.7285919189,-73.14478302
114,40.7460403442,-73.1007003784
115,40.7959442139,-74.4205474854
116,40.8506622314,-73.9328231812
117,40.7763633728,-74.2398147583
118,40.7965736389,-74.1909942627
119,40.7601890564,-74.148109436
120,40.7570648193,-74.0908050537
121,40.7689056396,-74.0390701294
122,40.762638092,-73.9749603271
123,40.7807273865,-73.9529342651
124,40.7601165771,-73.9160308838
125,40.7533340454,-73.8831710815
126,40.7557106018,-73.8417892456
127,40.7571563721,-73.813583374
128,40.757850647,-73.7804870605
129,40.7399291992,-73.7906951904
130,40.7212638855,-73.7594528198
131,40.7387237549,-73.6678924561
132,40.7637214661,-73.7710876465
133,40.6993484497,-73.8076248169
134,40.6450920105,-73.7811889648
135,40.7458953857,-73.9033966064
136,40.7218894958,-73.3920822144
137,40.7737159729,-73.2856063843
138,40.7006149292,-73.8076629639
139,40.6452636719,-73.7902679443
140,40.7881278992,-73.0291366577
141,40.8343887329,-74.4435958862
142,40.9020309448,-74.1353988647
143,40.8067703247,-74.3263626099
144,40.8442955017,-74.1929626465
145,40.8706817627,-73.8777389526
146,40.8029785156,-74.0980834961
147,40.8117752075,-74.0597991943
148,40.8111724854,-73.990447998
149,40.8071670532,-73.9481124878
150,40.8209571838,-73.9254074097
151,40.8334884644,-73.8801116943
152,40.8317184448,-73.8528137207
153,40.8297462463,-73.8250961304
154,40.7639007568,-73.7710723877
155,40.7596588135,-73.8298721313
156,40.7796516418,-73.6612701416
157,40.766292572,-73.6255264282
158,40.7517967224,-73.8174057007
159,40.7102127075,-73.7719650269
160,40.8341751099,-73.4204025269
161,40.8295135498,-73.2981948853
162,40.8071327209,-73.2643203735
163,40.8193244934,-73.1947097778
164,40.841091156,-73.1888046265
165,40.8082427979,-73.1104736328
166,40.7436943054,-73.1895980835
167,40.8290672302,-72.9939117432
168,40.8145256042,-73.9128341675
169,40.8768463135,-74.4465103149
170,40.8602905273,-74.3937301636
171,40.8620681763,-74.3778991699
172,40.6812438965,-73.9834747314
173,40.811794281,-73.9362945557
174,40.8549423218,-74.144203186
175,40.8788948059,-74.0895080566
176,40.8651390076,-74.0155944824
177,40.8588066101,-73.9769439697
178,40.83568573,-73.9430160522
179,40.8471450806,-73.9171600342
180,40.8556747437,-73.8836669922
181,40.8536987305,-73.8540878296
182,40.8519363403,-73.827255249
183,40.839931488,-73.6967773438
184,40.6993103027,-73.807144165
185,40.8586730957,-73.6348724365
186,40.8323516846,-73.6044616699
187,40.8514060974,-73.4879989624
188,40.681060791,-73.7731170654
189,40.7193222046,-73.8450164795
190,40.6634941101,-73.8232345581
191,40.8842353821,-73.2566375732
192,40.7662010193,-73.9131622314
193,40.7428627014,-73.9178848267
194,40.88331604,-72.9398345947
195,40.8743476868,-72.9167861938
196,40.815776825,-73.9183044434
197,40.9020881653,-74.1915206909
198,40.8536567688,-74.1318130493
199,40.9154663086,-74.094909668
200,40.8708496094,-73.9723892212
201,40.8976020813,-73.9911499023
202,40.8492279053,-73.938331604
203,40.8842811584,-73.9058227539
204,40.8799247742,-73.8802947998
205,40.8828773499,-73.8564834595
206,40.8839187622,-73.8267822266
207,40.713760376,-73.8301925659
208,40.5990715027,-73.9534912109
209,40.7011642456,-73.7647857666
210,40.6972503662,-73.81300354
211,40.7456207275,-73.9035263062
212,40.9073524475,-72.6553115845
